,name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
3041,Loadshare Networ...,3.6,(174 Reviews),Private,"Bangalore,Karnataka + 36 more",6 years old,501-1k Employees (India)
3042,Asti Electronics...,4,(174 Reviews),Private,"Gurgaon/Gurugram,Haryana + 4 more",19 years old,201-500 Employees (India)
3043,Celebi Delhi Car...,4.1,(174 Reviews),Istanbul + 4 more,65 years old,5k-10k Employees (India),
3044,Tata Electronics,3.9,(174 Reviews),Krishnagiri + 6 more,11-50 Employees (India),,
3045,Torrent Gas,3.2,(174 Reviews),Private,"Ahmedabad,Gujarat + 22 more",5 years old,501-1k Employees (India)
3046,PureSoftware,3.7,(174 Reviews),Private,"Noida,Uttar Pradesh + 5 more",18 years old,501-1k Employees (India)
3047,Total,3.6,(224 Reviews),Private,Paris + 33 more,99 years old,501-1k Employees (India)
3048,TCI Supply Chain...,4.3,(173 Reviews),Private,"Gurgaon/Gurugram,Haryana + 30 more",65 years old,5k-10k Employees (India)
3049,Hamleys,4.1,(173 Reviews),Private,London + 35 more,263 years old,1k-5k Employees (India)
3050,World Vision,4.3,(173 Reviews),Private,"Monrovia,California + 55 more",73 years old,1k-5k Employees (India)
3051,Allahabad Bank,4.1,(173 Reviews),Private,"Chennai,Tamil Nadu + 48 more",158 years old,10k-50k Employees (India)
3052,Self Practice,4.5,(173 Reviews),New Delhi + 67 more,,,
3053,Cotmac Electroni...,4,(173 Reviews),Private,"Pune,Maharashtra + 13 more",32 years old,501-1k Employees (India)
3054,NetAmbit Infosou...,3.5,(173 Reviews),Private,Noida + 23 more,23 years old,1k-5k Employees (India)
3055,Yara Fertilisers,4,(173 Reviews),Oslo + 29 more,118 years old,501-1k Employees (India),
3056,POSCO MAHARASHTR...,4.1,(173 Reviews),Private,Pohang-si + 8 more,11 years old,1k-5k Employees (India)
3057,Emirates Airline...,4,(173 Reviews),Private,"Dubai,Dubai + 14 more",38 years old,1k-5k Employees (India)
3058,VGN Projects Est...,4.1,(173 Reviews),Private,"Chennai,Tamil Nadu + 3 more",81 years old,1k-5k Employees (India)
3059,Yara Fertilisers,4,(173 Reviews),Oslo + 29 more,118 years old,501-1k Employees (India),
3060,Cargo Motors,3.9,(173 Reviews),Private,"Ahmedabad,Gujrat + 19 more",64 years old,1k-5k Employees (India)
3061,SVC Co-Operative...,4,(173 Reviews),Private,"Mumbai,Maharashtra + 30 more",117 years old,1k-5k Employees (India)
3062,POSCO MAHARASHTR...,4.1,(173 Reviews),Private,Pohang-si + 8 more,11 years old,1k-5k Employees (India)
3063,Emirates Airline...,4,(173 Reviews),Private,"Dubai,Dubai + 14 more",38 years old,1k-5k Employees (India)
3064,World Vision,4.3,(173 Reviews),Private,"Monrovia,California + 55 more",73 years old,1k-5k Employees (India)
3065,Costa Cruise Lin...,4.5,(173 Reviews),Private,Genoa + 9 more,75 years old,51-200 Employees (India)
3066,TCI Supply Chain...,4.3,(173 Reviews),Private,"Gurgaon/Gurugram,Haryana + 30 more",65 years old,5k-10k Employees (India)
3067,Allahabad Bank,4.1,(173 Reviews),Private,"Chennai,Tamil Nadu + 48 more",158 years old,10k-50k Employees (India)
3068,Parul University,3.6,(173 Reviews),Private,"Vadodara/Baroda,Gujarat + 16 more",8 years old,201-500 Employees (India)
3069,ProConnect Inte...,4.1,(172 Reviews),Private,"Chennai,Tamil Nadu + 33 more",11 years old,51-200 Employees (India)
3070,Saama Technologi...,4,(172 Reviews),Private,"Campbell,California + 2 more",26 years old,201-500 Employees (India)
3071,Prione Business ...,4.3,(172 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 22 more",9 years old,501-1k Employees (India)
3072,Tega Industries,3.8,(172 Reviews),Public,"Kolkata,West Bengal + 14 more",47 years old,1k-5k Employees (India)
3073,Lincoln Pharmace...,3.5,(172 Reviews),Public,"Ahmedabad,Gujarat + 14 more",44 years old,1k-5k Employees (India)
3074,CallHealth,3.8,(172 Reviews),Private,"Hyderabad,Telangana + 13 more",10 years old,51-200 Employees (India)
3075,KOREA PLANT SERV...,3.4,(172 Reviews),Private,"Naju,Jeollanam-do + 15 more",39 years old,1-10 Employees (India)
3076,Nimbus Harbor Fa...,3.9,(172 Reviews),Private,"Gurgaon/Gurugram,Haryana + 9 more",19 years old,10k-50k Employees (India)
3077,DSV - Global Tra...,4.2,(172 Reviews),Hedehusene + 20 more,47 years old,501-1k Employees (India),
3078,Caresoft Global,3.6,(172 Reviews),Private,"Detroit,Michigan + 5 more",19 years old,1k-5k Employees (India)
3079,HDFC Mutual Fund,3.9,(172 Reviews),"Mumbai,Maharashtra + 60 more",24 years old,1k-5k Employees (India),
3080,BRLPS,4.1,(172 Reviews),Patna + 38 more,16 years old,1k-5k Employees (India),
3081,Weddingz.in,3.1,(172 Reviews),Private,"Mumbai,Maharashtra + 25 more",8 years old,501-1k Employees (India)
3082,Shalimar Paints,3.6,(172 Reviews),Public,"Gurgaon/Gurugram,Haryana + 37 more",121 years old,1k-5k Employees (India)
3083,Laser Power & In...,3.6,(172 Reviews),Private,"Kolkata,West Bengal + 25 more",35 years old,1k-5k Employees (India)
3084,Halonix Technolo...,4.2,(172 Reviews),Private,"Noida,Uttar Pradesh + 31 more",10 years old,501-1k Employees (India)
3085,Dorf Ketal Chemi...,3.8,(172 Reviews),LLC,Houston + 20 more,31 years old,1k-5k Employees (India)
3086,Keihin India Man...,4.1,(172 Reviews),Tokyo + 7 more,67 years old,51-200 Employees (India),
3087,Concord Biotech,3.5,(172 Reviews),Public,"Ahmedabad,Gujarat + 5 more",23 years old,501-1k Employees (India)
3088,Smollan Group,4.3,(172 Reviews),Private,Johannesburg + 39 more,92 years old,201-500 Employees (India)
3089,BRLPS,4.1,(172 Reviews),Patna + 38 more,16 years old,1k-5k Employees (India),
3090,Halonix Technolo...,4.2,(172 Reviews),Private,"Noida,Uttar Pradesh + 31 more",10 years old,501-1k Employees (India)
3091,Madhucon Project...,3.6,(306 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 20 more",40 years old,1k-5k Employees (India)
3092,The Saraswat Co-...,3.8,(220 Reviews),Public,"Mumbai,Maharashtra + 24 more",105 years old,1k-5k Employees (India)
3093,Sears Holdings,3.9,(178 Reviews),Private,"Hoffman Estates,Illinois + 5 more",14 years old,501-1k Employees (India)
3094,Technicolor,4.2,(174 Reviews),Private,Paris + 4 more,130 years old,1k-5k Employees (India)
3095,Pole To Win,3.7,(171 Reviews),Private,Los Angeles + 2 more,29 years old,501-1k Employees (India)
3096,Popular Vehicles...,4.1,(171 Reviews),Private,"Ernakulam,Kerala + 17 more",84 years old,1k-5k Employees (India)
3097,VSoft Technologi...,3.5,(171 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 13 more",19 years old,201-500 Employees (India)
3098,UBS Business Sol...,4,(171 Reviews),Pune + 3 more,,,
3099,Infra.Market,4,(171 Reviews),Private,"Thane,Maharashtra + 29 more",7 years old,1k-5k Employees (India)
3100,V-bazaar Retail,4,(171 Reviews),Gurgaon + 38 more,7 years old,1k-5k Employees (India),
3101,Flyjac Logistics,4.2,(171 Reviews),Private,"Chennai,Tamil Nadu + 33 more",33 years old,501-1k Employees (India)
3102,Harsha Engineers,4.1,(171 Reviews),Private,"Ahmedabad,Gujarat + 5 more",37 years old,501-1k Employees (India)
3103,Navata Road Tran...,3.6,(171 Reviews),Partnership,"Vijayawada,Andhra Pradesh + 25 more",41 years old,1k-5k Employees (India)
3104,Bal Pharma,3.7,(171 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 18 more",36 years old,1k-5k Employees (India)
3105,MMC Infotech Ser...,3.4,(171 Reviews),Private,"Chennai,Tamil Nadu + 1 more",33 years old,201-500 Employees (India)
3106,THE KCP,4.3,(171 Reviews),Public,"Chennai,Tamil Nadu + 13 more",82 years old,1k-5k Employees (India)
3107,Padget Electroni...,3.6,(171 Reviews),Noida + 3 more,501-1k Employees (India),,
3108,Spm Autocomp,3.6,(171 Reviews),Private,"Gurgaon/Gurugram,Haryana + 8 more",28 years old,51-200 Employees (India)
3109,ESIC HOSPITAL,4.2,(171 Reviews),Private,"Delhi/NCR,New Delhi + 33 more",71 years old,201-500 Employees (India)
3110,Belstar Investme...,4.2,(171 Reviews),Private,"Chennai,Tamil Nadu + 67 more",35 years old,201-500 Employees (India)
3111,Sekisui Dljm Mol...,3.8,(171 Reviews),JV,"Gurgaon/Gurugram,Haryana + 11 more",12 years old,51-200 Employees (India)
3112,Jaypee Hospital,4.2,(171 Reviews),Private,Noida + 5 more,9 years old,501-1k Employees (India)
3113,Ubisoft Entertai...,4,(171 Reviews),Private,"Montreuil,Seine-saint-denis + 2 more",37 years old,1k-5k Employees (India)
3114,Zen3 Info Soluti...,4,(170 Reviews),Private,"Redmond,Washington + 2 more",20 years old,1k-5k Employees (India)
3115,Amrita Institute...,4.3,(170 Reviews),Private,"Kochi/Cochin,Kerala + 8 more",25 years old,5k-10k Employees (India)
3116,Bombay Intellige...,3.8,(170 Reviews),Private,"Mumbai,Maharashtra + 37 more",47 years old,51-200 Employees (India)
3117,Poorvika Mobiles,4.4,(170 Reviews),Private,"Chennai,Tamil Nadu + 26 more",19 years old,1k-5k Employees (India)
3118,MapmyIndia,3.9,(170 Reviews),Public,"Delhi,NCT + 3 more",31 years old,201-500 Employees (India)
3119,MapmyIndia,3.9,(170 Reviews),Public,"Delhi,NCT + 3 more",31 years old,201-500 Employees (India)
3120,Poorvika Mobiles,4.4,(170 Reviews),Private,"Chennai,Tamil Nadu + 26 more",19 years old,1k-5k Employees (India)
3121,Fosroc Chemicals...,4.3,(170 Reviews),Private,Dubai + 28 more,51 years old,201-500 Employees (India)
3122,Nalco water,4.2,(170 Reviews),Private,Naperville + 25 more,95 years old,1k-5k Employees (India)
3123,Drydocks World D...,4.1,(170 Reviews),LLC,"Dubai,Dubai + 10 more",40 years old,1k-5k Employees (India)
3124,Studds Accessori...,3.5,(170 Reviews),Private,"Faridabad,Haryana + 3 more",40 years old,1k-5k Employees (India)
3125,Lanxess,4.4,(170 Reviews),Private,Cologne + 12 more,19 years old,501-1k Employees (India)
3126,Brg Iron And Ste...,3.7,(170 Reviews),Private,"Kolkata,West Bengal + 7 more",21 years old,51-200 Employees (India)
3127,Modi Mundi Pharm...,4,(170 Reviews),Private,"Delhi/NCR,Delhi + 31 more",33 years old,201-500 Employees (India)
3128,The Institute Of...,3.9,(170 Reviews),New Delhi + 55 more,74 years old,51-200 Employees (India),
3129,Ang India,4.2,(170 Reviews),Public,"Noida,Uttar Pradesh + 26 more",45 years old,201-500 Employees (India)
3130,Hollister Medica...,4.3,(170 Reviews),Illinois + 6 more,102 years old,51-200 Employees (India),
3131,D.p. Jain & Co. ...,3.6,(170 Reviews),Private,"Nagpur,Maharashtra + 20 more",49 years old,201-500 Employees (India)
3132,Lipi Data System...,3.8,(170 Reviews),Private,Mumbai + 34 more,30 years old,501-1k Employees (India)
3133,Mahindra Lifespa...,4,(170 Reviews),Public,"Mumbai,Maharashtra + 16 more",29 years old,201-500 Employees (India)
3134,Biz 2 Credit Inf...,4.4,(170 Reviews),Private,"New York,New York + 1 more",16 years old,201-500 Employees (India)
3135,Pepe Jeans,4.3,(169 Reviews),Private,Municipility Of Sant Feliu De Llobregat + 37 more,50 years old,51-200 Employees (India)
3136,Praxair,4.1,(169 Reviews),Private,"Danbury,Connecticut + 25 more",116 years old,201-500 Employees (India)
3137,Autometers Allia...,4.2,(169 Reviews),Private,"Noida,Uttar Pradesh + 8 more",64 years old,501-1k Employees (India)
3138,DBOI Global Serv...,4.5,(169 Reviews),Private,"Mumbai,Maharashtra + 5 more",43 years old,51-200 Employees (India)
3139,Barista Coffee C...,4.4,(169 Reviews),Private,"Delhi/NCR,New Delhi + 22 more",24 years old,1k-5k Employees (India)
3140,SRMB SRIJAN,3.8,(169 Reviews),"Kolkata,West Bengal + 27 more",72 years old,201-500 Employees (India),
3141,PULSUS HealthTec...,3.2,(169 Reviews),Public,London + 3 more,39 years old,501-1k Employees (India)
3142,Omninos Solution...,4.7,(169 Reviews),Chandigarh + 21 more,7 years old,201-500 Employees (India),
3143,Box8,3.4,(169 Reviews),Private,"Mumbai,Maharashtra + 11 more",12 years old,1k-5k Employees (India)
3144,Thyssenkrupp Ind...,4.2,(169 Reviews),Essen + 12 more,164 years old,1k-5k Employees (India),
3145,Puranik Builders,3.7,(169 Reviews),Public,"Thane,Maharashtra + 6 more",55 years old,201-500 Employees (India)
3146,Accord Synergy,3.7,(169 Reviews),Public,"Vadodara/Baroda,Gujrat + 24 more",9 years old,51-200 Employees (India)
3147,Luxor Writing In...,3.7,(169 Reviews),Private,"Noida,Uttar Pradesh + 25 more",22 years old,1k-5k Employees (India)
3148,Wsp Consultants ...,4.4,(169 Reviews),Private,Montreal + 8 more,64 years old,1k-5k Employees (India)
3149,NACL Industries,4.4,(169 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 33 more",30 years old,1k-5k Employees (India)
3150,Al Ahleia Switch...,3.4,(169 Reviews),Private,Safat + 9 more,41 years old,1k-5k Employees (India)
3151,PULSUS HealthTec...,3.2,(169 Reviews),Public,London + 3 more,39 years old,501-1k Employees (India)
3152,Wsp Consultants ...,4.4,(169 Reviews),Private,Montreal + 8 more,64 years old,1k-5k Employees (India)
3153,Omninos Solution...,4.7,(169 Reviews),Chandigarh + 21 more,7 years old,201-500 Employees (India),
3154,Agarwal Packers ...,3.7,(169 Reviews),Public,"Delhi/NCR,New Delhi + 32 more",36 years old,501-1k Employees (India)
3155,Sagility,4,(169 Reviews),Bengaluru/Bangalore + 7 more,1k-5k Employees (India),,
3156,Monnet Group,4.2,(169 Reviews),Public,"Raipur,Chhattisgarh + 13 more",33 years old,501-1k Employees (India)
3157,ClearTax,3.5,(1.2k Reviews),Private,"Bengaluru/Bangalore,Karnataka + 7 more",12 years old,501-1k Employees (India)
3158,Qatar Petroleum,4.2,(1k Reviews),Other,Doha + 10 more,49 years old,501-1k Employees (India)
3159,STAR,3.8,(244 Reviews),"Mumbai,Maharashtra + 24 more",29 years old,1k-5k Employees (India),
3160,ACG Worldwide,4.1,(201 Reviews),Private,"Mumbai,Maharashtra + 11 more",62 years old,1k-5k Employees (India)
3161,Nidec Corporatio...,4,(171 Reviews),Private,Kyoto + 14 more,50 years old,501-1k Employees (India)
3162,Walplast Product...,3.9,(168 Reviews),Private,"Navi Mumbai,Maharashtra + 27 more",19 years old,201-500 Employees (India)
3163,Gaursons,3.8,(168 Reviews),Public,"Ghaziabad,Uttar Pradesh + 5 more",28 years old,501-1k Employees (India)
3164,SiliconIndia,2.6,(168 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 3 more",26 years old,201-500 Employees (India)
3165,Meghalaya Cement...,4,(168 Reviews),Private,"Kolkata,West Bengal + 6 more",20 years old,501-1k Employees (India)
3166,Premium Transmis...,3.7,(168 Reviews),Private,"Pune,Maharashtra + 10 more",62 years old,501-1k Employees (India)
3167,YKK,4,(168 Reviews),Private,"Gurgaon/Gurugram,Haryana + 11 more",28 years old,201-500 Employees (India)
3168,Rapido,3.9,(168 Reviews),Private,"Bangalore,Karnataka + 38 more",8 years old,1k-5k Employees (India)
3169,Core Integra Con...,3.6,(168 Reviews),Private,"Mumbai,Maharashtra + 42 more",12 years old,1k-5k Employees (India)
3170,PCS Technology,3.7,(168 Reviews),Public,"Pune,Maharashtra + 42 more",42 years old,1k-5k Employees (India)
3171,Mitra SK,4.1,(168 Reviews),Private,"Kolkata,West Bengal + 25 more",85 years old,1k-5k Employees (India)
3172,CEC Internationa...,4.6,(168 Reviews),Private,Taipei + 12 more,78 years old,201-500 Employees (India)
3173,Al Tasnim Enterp...,3.8,(168 Reviews),Private,Muscat + 8 more,47 years old,201-500 Employees (India)
3174,Coolberg Beverag...,3.5,(168 Reviews),Private,"Mumbai,Maharashtra + 26 more",7 years old,201-500 Employees (India)
3175,Aachi Foods,4,(168 Reviews),Private,"Chennai,Tamil Nadu + 22 more",28 years old,501-1k Employees (India)
3176,Dixit Infotech S...,3.9,(168 Reviews),Private,"Mumbai,Maharashtra + 22 more",44 years old,501-1k Employees (India)
3177,TJSB Sahakari Ba...,4,(168 Reviews),Private,Thane + 24 more,51 years old,1k-5k Employees (India)
3178,Sir Ganga Ram Ho...,4.3,(167 Reviews),Private,"Delhi/NCR,New Delhi + 10 more",69 years old,201-500 Employees (India)
3179,Piramal Glass,4.2,(167 Reviews),Private,"Mumbai,Maharashtra + 7 more",39 years old,1k-5k Employees (India)
3180,Tata Steel Proce...,3.9,(167 Reviews),Private,Kolkata + 22 more,26 years old,1k-5k Employees (India)
3181,Faasos Food Serv...,3.6,(167 Reviews),Private,"Pune,Maharashtra + 15 more",13 years old,1k-5k Employees (India)
3182,Bharat IT Servic...,3,(167 Reviews),Public,"Noida,Uttar Pradesh + 32 more",27 years old,501-1k Employees (India)
3183,Anudip Foundatio...,3.9,(167 Reviews),NGO/NPO,"Kolkata,West Bengal + 29 more",16 years old,501-1k Employees (India)
3184,Sir Ganga Ram Ho...,4.3,(167 Reviews),Private,"Delhi/NCR,New Delhi + 10 more",69 years old,201-500 Employees (India)
3185,Bhavani Industri...,3.9,(167 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 10 more",36 years old,201-500 Employees (Global)
3186,Javi Systems,3.8,(167 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 32 more",16 years old,201-500 Employees (India)
3187,Cordlife Science...,4,(167 Reviews),Private,"Kolkata,West Bengal + 30 more",22 years old,201-500 Employees (India)
3188,Planetcast,3.9,(167 Reviews),Public,"Noida,Uttar Pradesh + 8 more",27 years old,1k-5k Employees (India)
3189,QBurst Technolog...,4.7,(167 Reviews),Private,"Chantilly,Virginia + 6 more",19 years old,1k-5k Employees (India)
3190,Kauvery Hospital,3.9,(167 Reviews),Public,"Chennai,Tamil Nadu + 8 more",24 years old,51-200 Employees (India)
3191,Big C,4,(167 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 28 more",20 years old,1k-5k Employees (India)
3192,Sonata Finance,4.1,(167 Reviews),Private,"Allahabad/Prayagraj,Uttar Pradesh + 43 more",28 years old,51-200 Employees (India)
3193,The Dow Chemical...,4.4,(167 Reviews),Private,"Midland,Michigan + 7 more",66 years old,1k-5k Employees (India)
3194,Hinduja Group,3.9,(17.1k Reviews),Public,Mumbai + 53 more,109 years old,1 Lakh+ Employees (India)
3195,Sonalika Group o...,3.8,(1.5k Reviews),Private,Hoshiarpur + 30 more,54 years old,5k-10k Employees (India)
3196,Stanley Black & ...,4,(240 Reviews),Private,New Britain + 16 more,180 years old,501-1k Employees (India)
3197,Peter England,4.2,(166 Reviews),Private,Londonderry + 77 more,134 years old,501-1k Employees (India)
3198,Puravankara Proj...,4.2,(166 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 9 more",48 years old,1k-5k Employees (India)
3199,Urban Ladder,4.1,(166 Reviews),Private,"Bangalore,Karnataka + 19 more",11 years old,201-500 Employees (India)
3200,Nexteer Automoti...,3.7,(166 Reviews),Private,"Auburn Hills,Michigan + 6 more",117 years old,501-1k Employees (India)
3201,Elico Healthcare...,3.1,(166 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 2 more",24 years old,501-1k Employees (India)
3202,Toshiba Transmis...,3.9,(166 Reviews),Private,Hyderabad + 14 more,129 years old,501-1k Employees (India)
3203,Datamatics Busin...,3.8,(166 Reviews),Public,Mumbai + 3 more,41 years old,1k-5k Employees (India)
3204,Apisero,4.4,(166 Reviews),Chandler + 7 more,7 years old,1k-5k Employees (India),
3205,Scaler Academy,4.2,(166 Reviews),Private,"Bangalore,Karnataka",4 years old,1k-5k Employees (India)
3206,Peregrine Guardi...,3.9,(166 Reviews),Private,"Gurgaon/Gurugram,Haryana + 32 more",28 years old,501-1k Employees (India)
3207,Chaitanya India ...,4,(166 Reviews),Private,"Bangalore,Karnataka + 69 more",14 years old,5k-10k Employees (India)
3208,Mahindra Electri...,3.7,(166 Reviews),Private,Bengaluru + 9 more,29 years old,201-500 Employees (India)
3209,Chaitanya India ...,4,(166 Reviews),Private,"Bangalore,Karnataka + 69 more",14 years old,5k-10k Employees (India)
3210,Elico Healthcare...,3.1,(166 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 2 more",24 years old,501-1k Employees (India)
3211,Datamatics Busin...,3.8,(166 Reviews),Public,Mumbai + 3 more,41 years old,1k-5k Employees (India)
3212,Mahindra Electri...,3.7,(166 Reviews),Private,Bengaluru + 9 more,29 years old,201-500 Employees (India)
3213,Health India Tpa...,3.7,(166 Reviews),Private,"Mumbai,Maharashtra + 23 more",21 years old,51-200 Employees (India)
3214,Woodland,3.7,(166 Reviews),Private,Quebec + 49 more,31 years old,5k-10k Employees (Global)
3215,Scaler Academy,4.2,(166 Reviews),Private,"Bangalore,Karnataka",4 years old,1k-5k Employees (India)
3216,Apisero,4.4,(166 Reviews),Chandler + 7 more,7 years old,1k-5k Employees (India),
3217,Globtier Infotec...,3.7,(165 Reviews),Private,"Noida,Uttar Pradesh + 26 more",18 years old,1k-5k Employees (India)
3218,Tredence,3.8,(165 Reviews),Private,"San Jose,California + 4 more",10 years old,1k-5k Employees (India)
3219,Shree Renuka Sug...,4.2,(165 Reviews),Public,"Belagavi/Belgaum,Karnataka + 21 more",25 years old,1k-5k Employees (India)
3220,Invensis Technol...,3.4,(165 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 3 more",23 years old,1k-5k Employees (India)
3221,Sun TV Network,4.1,(165 Reviews),Public,"Chennai,Tamil Nadu + 7 more",30 years old,1k-5k Employees (India)
3222,Fingent,4.8,(165 Reviews),Private,"New York,New York + 2 more",20 years old,201-500 Employees (India)
3223,Gold's Gym,3.9,(165 Reviews),Private,"Dallas,Texas + 45 more",58 years old,1-10 Employees (India)
3224,Claris Lifescien...,3.9,(165 Reviews),Public,"Ahmedabad,Gujrat + 14 more",24 years old,1k-5k Employees (India)
3225,AVL,3.9,(165 Reviews),Private,Graz + 9 more,75 years old,501-1k Employees (India)
3226,Mobikwik,3.4,(165 Reviews),Private,"Gurgaon,Haryana + 13 more",14 years old,201-500 Employees (India)
3227,International Au...,3.9,(165 Reviews),Private,Southfield + 6 more,17 years old,501-1k Employees (India)
3228,American Tower C...,3.9,(165 Reviews),Private,"Boston,MA + 31 more",28 years old,501-1k Employees (India)
3229,Atul Auto,3.4,(165 Reviews),Public,"Rajkot,Gujrat + 23 more",41 years old,1k-5k Employees (India)
3230,Hardcastle Resta...,4.1,(165 Reviews),Private,Mumbai + 23 more,28 years old,5k-10k Employees (India)
3231,SISL Infotech,3.6,(165 Reviews),Private,"Delhi/NCR,Delhi + 30 more",16 years old,501-1k Employees (India)
3232,Cyber Infrastruc...,3.6,(165 Reviews),Private,"San Jose,California + 1 more",20 years old,501-1k Employees (India)
3233,University of Pe...,4.3,(165 Reviews),Private,"Dehradun,Uttarakhand + 7 more",20 years old,501-1k Employees (India)
3234,Nippon Audiotron...,3.5,(165 Reviews),Private,"Delhi/NCR,Delhi + 10 more",27 years old,501-1k Employees (India)
3235,The Hershey Comp...,4.2,(165 Reviews),Private,"Derry Township,Pennsylvania + 31 more",129 years old,201-500 Employees (India)
3236,Cipla Industries,3.9,(165 Reviews),New Delhi + 26 more,25 years old,11-50 Employees (India),
3237,Shriram Finance,3.6,(165 Reviews),Mumbai + 63 more,44 years old,51-200 Employees (India),
3238,FabAlley,4.6,(165 Reviews),"Noida,Uttar Pradesh + 35 more",11 years old,501-1k Employees (India),
3239,Fingent,4.8,(165 Reviews),Private,"New York,New York + 2 more",20 years old,201-500 Employees (India)
3240,Mobikwik,3.4,(165 Reviews),Private,"Gurgaon,Haryana + 13 more",14 years old,201-500 Employees (India)
3241,Cyber Infrastruc...,3.6,(165 Reviews),Private,"San Jose,California + 1 more",20 years old,501-1k Employees (India)
3242,Uniinfo Telecom ...,3.4,(164 Reviews),Public,"Indore,Madhya Pradesh + 24 more",13 years old,201-500 Employees (India)
3243,RadiSys,4.4,(164 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 3 more",36 years old,1k-5k Employees (India)
3244,British Biologic...,3.1,(164 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 32 more",35 years old,501-1k Employees (India)
3245,Sabre,4,(164 Reviews),Private,"Southlake,Texas + 6 more",63 years old,1k-5k Employees (India)
3246,Krishnapatnam P...,4.2,(164 Reviews),Private,"Nellore,Andhra Pradesh + 8 more",15 years old,501-1k Employees (India)
3247,Mantri Developer...,3.4,(164 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 5 more",24 years old,501-1k Employees (India)
3248,Alchem Internati...,3.7,(164 Reviews),Private,"Gurgaon/Gurugram,Haryana + 17 more",88 years old,201-500 Employees (India)
3249,PC Financial Ser...,3.8,(164 Reviews),Private,"Gurgaon/Gurugram,Haryana + 2 more",28 years old,201-500 Employees (India)
3250,Vascon Engineers,3.7,(164 Reviews),Public,"Pune,Maharashtra + 12 more",37 years old,501-1k Employees (India)
3251,AISECT,3.9,(164 Reviews),Private,"Bhopal,Madhya Pradesh + 43 more",38 years old,5k-10k Employees (India)
3252,Rooman Technolog...,3.6,(164 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 33 more",24 years old,201-500 Employees (India)
3253,Sangeetha Mobile,4,(164 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 38 more",49 years old,1k-5k Employees (India)
3254,Fourrts India La...,3.7,(164 Reviews),Private,"Chennai,Tamil Nadu + 27 more",46 years old,1k-5k Employees (India)
3255,Cryoviva Biotech,3.3,(164 Reviews),Private,"Gurgaon/Gurugram,Haryana + 36 more",17 years old,501-1k Employees (India)
3256,Rinder India,3.9,(164 Reviews),Private,"Pune,Maharashtra + 6 more",26 years old,201-500 Employees (India)
3257,Gtpl Hathway,4,(164 Reviews),Public,"Ahmedabad,Gujarat + 23 more",17 years old,1k-5k Employees (India)
3258,R.V.R. PROJECTS,3.9,(164 Reviews),Private,"Visakhapatnam/Vizag,Andhra Pradesh + 25 more",47 years old,51-200 Employees (India)
3259,Drake & Scull In...,3.9,(164 Reviews),Private,Dubai + 13 more,142 years old,51-200 Employees (India)
3260,HPM Chemicals & ...,4.7,(164 Reviews),Private,New Delhi + 30 more,46 years old,501-1k Employees (India)
3261,MARK EXHAUST SYS...,4,(164 Reviews),Public,"Gurgaon/Gurugram,Haryana + 8 more",30 years old,501-1k Employees (India)
3262,Baxter Pharmaceu...,4.3,(164 Reviews),Deerfield + 4 more,92 years old,1k-5k Employees (India),
3263,Murugappa Group,4.1,(6.3k Reviews),Private,"Chennai,Tamil Nadu + 54 more",123 years old,50k-1 Lakh Employees (India)
3264,Emerson Climate ...,4,(165 Reviews),St. Louis + 17 more,133 years old,1k-5k Employees (India),
3265,VAYA Finserv,4.1,(163 Reviews),Private,"Hyderabad,Telangana + 39 more",9 years old,1k-5k Employees (India)
3266,Liberty Shoes,4,(163 Reviews),Public,"Gurgaon/Gurugram,Haryana + 29 more",69 years old,51-200 Employees (India)
3267,CPA Global,4,(163 Reviews),Private,"St Helier,New Jersey + 3 more",54 years old,1k-5k Employees (India)
3268,United India Ins...,4.3,(163 Reviews),Public,"Chennai,Tamil Nadu + 64 more",85 years old,10k-50k Employees (India)
3269,Bravura Solution...,4.5,(163 Reviews),Private,"Gurgaon/Gurugram,Haryana",19 years old,201-500 Employees (India)
3270,St. John's Medic...,4,(163 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 7 more",19 years old,1k-5k Employees (India)
3271,Ador Welding,4.1,(163 Reviews),Public,"Mumbai,Maharashtra + 21 more",72 years old,501-1k Employees (India)
3272,TIDC India,4.1,(163 Reviews),Private,"Chennai,Tamil Nadu + 18 more",63 years old,5k-10k Employees (India)
